age,sex,exp,medians,junction,surface,light,weather,collision,car_movement,acc_cause,severity
31-50,Male,1-2yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,2
Unknown,Male,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Getting off,Driving carelessly,2
31-50,Male,2-5yr,other,Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
Unknown,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Under 18,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Male,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Over 51,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Overturning,2
Unknown,Female,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,2
18-30,Male,Below 1yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,2-5yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
18-30,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
31-50,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No distancing,2
Unknown,Female,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Driving carelessly,2
Unknown,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving carelessly,2
Unknown,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Unknown,Female,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
18-30,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,Above 10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
31-50,Male,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,Below 1yr,Undivided Two way,Y Shape,Earth roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,1
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Unknown,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Overtaking,2
Unknown,Female,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,No Licence,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,2
Unknown,Female,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Other,No distancing,2
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,2
Unknown,Female,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,1
31-50,Male,Above 10yr,Double carriageway (median),Unknown,Gravel roads,Darkness - lights lit,Normal,Collision with roadside objects,Other,No distancing,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No distancing,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Unknown,Unknown,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
31-50,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Unknown,Female,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No priority to vehicle,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Going straight,Turnover,2
18-30,Male,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,2
31-50,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Driving at high speed,1
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,1
31-50,Male,Unknown,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,5-10yr,other,Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driving carelessly,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Unknown,Female,Unknown,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Other,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Overtaking,2
Over 51,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Stopping,No distancing,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Unknown,Collision with pedestrians,Other,Overtaking,1
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Other,Daylight,Unknown,Collision with pedestrians,Other,Moving Backward,1
31-50,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,No distancing,1
Over 51,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,1
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Female,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Unknown,Female,Below 1yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Male,2-5yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
Unknown,Female,Below 1yr,Undivided Two way,Y Shape,Unknown,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Over 51,Male,Below 1yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
18-30,Male,Unknown,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving at high speed,2
18-30,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
18-30,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,1
18-30,Male,Below 1yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,With Train,Going straight,Changing lane to the right,1
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Other,Moving Backward,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown,Moving Backward,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the left,2
18-30,Male,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,2-5yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Above 10yr,Undivided Two way,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Unknown,Female,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the left,2
Unknown,Female,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,No priority to vehicle,2
Unknown,Female,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Entering a junction,No distancing,2
Over 51,Male,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Entering a junction,No priority to vehicle,2
31-50,Male,Below 1yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Entering a junction,Driving under the influence of drugs,2
31-50,Male,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Changing lane to the right,2
18-30,Male,Unknown,Undivided Two way,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Entering a junction,No distancing,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,No distancing,2
Unknown,Female,1-2yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Changing lane to the left,1
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Entering a junction,Changing lane to the right,2
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Entering a junction,Changing lane to the right,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Driving under the influence of drugs,2
18-30,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Moving Backward,2
18-30,Male,Above 10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,2
18-30,Male,5-10yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,No distancing,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
Unknown,Unknown,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Changing lane to the right,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
31-50,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,No distancing,2
Over 51,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Moving Backward,2
31-50,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
Unknown,Female,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Overtaking,No priority to pedestrian,2
18-30,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
Unknown,Female,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Unknown,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Unknown,1-2yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,Unknown,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,2
Over 51,Male,Above 10yr,other,No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Driving under the influence of drugs,2
31-50,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Windy,Collision with roadside objects,Entering a junction,Moving Backward,2
31-50,Male,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Turnover,Changing lane to the right,2
Unknown,Female,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Over 51,Male,Unknown,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
31-50,Male,1-2yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
Unknown,Female,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the right,2
Unknown,Female,5-10yr,Unknown,Crossing,Other,Daylight,Normal,Collision with pedestrians,Getting off,No distancing,2
31-50,Male,Below 1yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Getting off,Driving carelessly,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,1
31-50,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Female,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Moving Backward,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,Changing lane to the left,2
Over 51,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Under 18,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
Over 51,Male,1-2yr,Double carriageway (median),Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overloading,1
18-30,Male,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,1
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,No priority to vehicle,2
18-30,Male,Above 10yr,Double carriageway (median),Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
31-50,Male,Above 10yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,No priority to pedestrian,2
18-30,Male,No Licence,One way,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,5-10yr,Unknown,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,No distancing,2
18-30,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
Unknown,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Moving Backward,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,Overtaking,Changing lane to the right,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Unknown,Collision with roadside objects,Going straight,No priority to pedestrian,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
31-50,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Overtaking,2
31-50,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Overloading,2
31-50,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Improper parking,2
31-50,Male,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Other,2
31-50,Male,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Reversing,Changing lane to the left,2
31-50,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Stopping,No priority to pedestrian,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Overtaking,Overspeed,2
Over 51,Male,5-10yr,Undivided Two way,Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
18-30,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
Over 51,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Unknown,Female,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to pedestrian,2
Unknown,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,No priority to vehicle,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Other,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,2
31-50,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,2-5yr,other,Y Shape,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Changing lane to the left,2
Over 51,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,No Licence,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Unknown,Female,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Changing lane to the right,2
